191,"Giving false evidence","Giving false evidence","-","-","-"
193,"Punishment for false evidence","Giving or fabricating false evidence in a judicial proceeding","Imprisonment for 7 years and fine","Non-cognizable","Bailable"
201,"Causing disappearance of evidence of offence, or giving false information to screen offender","Causing disappearance of evidence of offence, or giving false information to screen offender","Imprisonment for 7 years and fine (if capital offence); 3 years and fine (if life imprisonment offence); 1/4th of longest term of imprisonment for offence (if other offence)","Usually Non-cognizable (Cognizable if offence is cognizable)","Bailable"
212,"Harbouring offender","Harbouring offender (if capital offence); (if life imprisonment offence); (if other offence)","5 years and fine; 3 years and fine; 1/4th of longest term and fine","Cognizable if offence is cognizable; Non-cognizable if offence is non-cognizable","Bailable"
268,"Public nuisance","Public nuisance","-","-","-"
279,"Rash driving or riding on a public way","Rash driving or riding on a public way","Imprisonment for 6 months, or fine of 1000 rupees, or both","Cognizable","Bailable"
294,"Obscene acts and songs","Obscene acts and songs","Imprisonment for 3 months, or fine, or both","Cognizable","Bailable"
295,"Injuring or defiling place of worship with intent to insult the religion of any class","Injuring or defiling place of worship with intent to insult the religion of any class","Imprisonment for 2 years, or fine, or both","Cognizable","Non-bailable"
295A,"Deliberate and malicious acts, intended to outrage religious feelings of any class by insulting its religion or religious beliefs","Deliberate and malicious acts intended to outrage religious feelings of any class by insulting its religion or religious beliefs","Imprisonment for 3 years, or fine, or both","Cognizable","Non-bailable"
299,"Culpable homicide","Culpable homicide","-","-","-"
300,"Murder","Murder","-","-","-"
302,"Punishment for murder","Murder","Death, or imprisonment for life, and fine","Cognizable","Non-bailable"
304,"Punishment for culpable homicide not amounting to murder","Culpable homicide not amounting to murder (if act by which death is caused is done with intention of causing death, etc.); (if act is done with knowledge that it is likely to cause death, etc.)","Imprisonment for life, or 10 years and fine; Imprisonment for 10 years, or fine, or both","Cognizable","Non-bailable"
304A,"Causing death by negligence","Causing death by negligence","Imprisonment for 2 years, or fine, or both","Cognizable","Bailable"
304B,"Dowry death","Dowry death","Imprisonment for not less than 7 years but which may extend to imprisonment for life","Cognizable","Non-bailable"
306,"Abetment of suicide","Abetment of suicide","Imprisonment for 10 years and fine","Cognizable","Non-bailable"
307,"Attempt to murder","Attempt to murder","Imprisonment for 10 years and fine; if hurt is caused, imprisonment for life, or 10 years and fine","Cognizable","Non-bailable"
308,"Attempt to commit culpable homicide","Attempt to commit culpable homicide","Imprisonment for 3 years, or fine, or both; if hurt is caused, imprisonment for 7 years, or fine, or both","Cognizable","Bailable"
309,"Attempt to commit suicide","Attempt to commit suicide","Simple imprisonment for 1 year, or fine, or both","Cognizable","Bailable"
319,"Hurt","Hurt","-","-","-"
320,"Grievous hurt","Grievous hurt","-","-","-"
323,"Punishment for voluntarily causing hurt","Voluntarily causing hurt","Imprisonment for 1 year, or fine of 1000 rupees, or both","Non-cognizable","Bailable"
324,"Voluntarily causing hurt by dangerous weapons or means","Voluntarily causing hurt by dangerous weapons or means","Imprisonment for 3 years, or fine, or both","Cognizable","Non-bailable"
325,"Punishment for voluntarily causing grievous hurt","Voluntarily causing grievous hurt","Imprisonment for 7 years and fine","Cognizable","Bailable"
326,"Voluntarily causing grievous hurt by dangerous weapons or means","Voluntarily causing grievous hurt by dangerous weapons or means","Imprisonment for life, or 10 years and fine","Cognizable","Non-bailable"
326A,"Voluntarily causing grievous hurt by use of acid, etc.","Voluntarily causing grievous hurt by use of acid, etc.","Imprisonment for not less than 10 years but which may extend to imprisonment for life, and fine","Cognizable","Non-bailable"
326B,"Voluntarily throwing or attempting to throw acid","Voluntarily throwing or attempting to throw acid","Imprisonment for not less than 5 years but which may extend to 7 years, and fine","Cognizable","Non-bailable"
332,"Voluntarily causing hurt to deter public servant from his duty","Voluntarily causing hurt to deter public servant from his duty","Imprisonment for 3 years, or fine, or both","Cognizable","Non-bailable"
339,"Wrongful restraint","Wrongful restraint","-","-","-"
340,"Wrongful confinement","Wrongful confinement","-","-","-"
341,"Punishment for wrongful restraint","Wrongful restraint","Simple imprisonment for 1 month, or fine of 500 rupees, or both","Cognizable","Bailable"
342,"Punishment for wrongful confinement","Wrongful confinement","Imprisonment for 1 year, or fine of 1000 rupees, or both","Cognizable","Bailable"
351,"Assault","Assault","-","-","-"
352,"Punishment for assault or criminal force otherwise than on grave provocation","Assault or criminal force otherwise than on grave provocation","Imprisonment for 3 months, or fine of 500 rupees, or both","Non-cognizable","Bailable"
353,"Assault or criminal force to deter public servant from discharge of his duty","Assault or criminal force to deter public servant from discharge of his duty","Imprisonment for 2 years, or fine, or both","Cognizable","Non-bailable"
354,"Assault or criminal force to woman with intent to outrage her modesty","Assault or criminal force to woman with intent to outrage her modesty","Imprisonment for not less than 1 year but which may extend to 5 years, and fine","Cognizable","Non-bailable"
354A,"Sexual harassment and punishment for sexual harassment","Sexual harassment","Imprisonment for 3 years (for clause i, ii, iii); 1 year (for clause iv), and fine","Cognizable","Bailable"
354B,"Assault or use of criminal force to woman with intent to disrobe","Assault or use of criminal force to woman with intent to disrobe","Imprisonment for not less than 3 years but which may extend to 7 years, and fine","Cognizable","Non-bailable"
354C,"Voyeurism","Voyeurism","First conviction: Imprisonment for 1-3 years and fine; Second or subsequent conviction: Imprisonment for 3-7 years and fine","Cognizable","Bailable (First conviction); Non-bailable (Subsequent conviction)"
354D,"Stalking","Stalking","First conviction: Imprisonment for 3 years and fine; Second or subsequent conviction: Imprisonment for 5 years and fine","Cognizable","Bailable (First conviction); Non-bailable (Subsequent conviction)"
359,"Kidnapping","Kidnapping","-","-","-"
362,"Abduction","Abduction","-","-","-"
363,"Punishment for kidnapping","Kidnapping","Imprisonment for 7 years and fine","Cognizable","Bailable"
364,"Kidnapping or abducting in order to murder","Kidnapping or abducting in order to murder","Imprisonment for life, or rigorous imprisonment for 10 years, and fine","Cognizable","Non-bailable"
364A,"Kidnapping for ransom, etc.","Kidnapping for ransom, etc.","Death, or imprisonment for life, and fine","Cognizable","Non-bailable"
365,"Kidnapping or abducting with intent secretly and wrongfully to confine person","Kidnapping or abducting with intent secretly and wrongfully to confine person","Imprisonment for 7 years and fine","Cognizable","Non-bailable"
366,"Kidnapping, abducting or inducing woman to compel her marriage, etc.","Kidnapping, abducting or inducing woman to compel her marriage, etc.","Imprisonment for 10 years and fine","Cognizable","Non-bailable"
375,"Rape","Rape","-","-","-"
376,"Punishment for rape","Rape","Imprisonment for not less than 10 years but which may extend to imprisonment for life, and fine","Cognizable","Non-bailable"
376D,"Gang rape","Gang rape","Imprisonment for not less than 20 years but which may extend to imprisonment for life, and fine","Cognizable","Non-bailable"
377,"Unnatural offences","Unnatural offences","Imprisonment for life, or imprisonment for 10 years, and fine","Cognizable","Non-bailable"
378,"Theft","Theft","-","-","-"
379,"Punishment for theft","Theft","Imprisonment for 3 years, or fine, or both","Cognizable","Non-bailable"
380,"Theft in dwelling house, etc.","Theft in dwelling house, etc.","Imprisonment for 7 years and fine","Cognizable","Non-bailable"
383,"Extortion","Extortion","-","-","-"
384,"Punishment for extortion","Extortion","Imprisonment for 3 years, or fine, or both","Cognizable","Non-bailable"
390,"Robbery","Robbery","-","-","-"
391,"Dacoity","Dacoity","-","-","-"
392,"Punishment for robbery","Robbery","Imprisonment for 10 years and fine; if on the highway between sunset and sunrise, 14 years and fine","Cognizable","Non-bailable"
395,"Punishment for dacoity","Dacoity","Imprisonment for life, or rigorous imprisonment for 10 years, and fine","Cognizable","Non-bailable"
396,"Dacoity with murder","Dacoity with murder","Death, or imprisonment for life, or rigorous imprisonment for 10 years, and fine","Cognizable","Non-bailable"
397,"Robbery, or dacoity, with attempt to cause death or grievous hurt","Robbery, or dacoity, with attempt to cause death or grievous hurt","Imprisonment for not less than 7 years","Cognizable","Non-bailable"
405,"Criminal breach of trust","Criminal breach of trust","-","-","-"
406,"Punishment for criminal breach of trust","Criminal breach of trust","Imprisonment for 3 years, or fine, or both","Cognizable","Non-bailable"
409,"Criminal breach of trust by public servant, or by banker, merchant or agent","Criminal breach of trust by public servant, or by banker, merchant or agent","Imprisonment for life, or imprisonment for 10 years, and fine","Cognizable","Non-bailable"
411,"Dishonestly receiving stolen property","Dishonestly receiving stolen property","Imprisonment for 3 years, or fine, or both","Cognizable","Non-bailable"
415,"Cheating","Cheating","-","-","-"
417,"Punishment for cheating","Cheating","Imprisonment for 1 year, or fine, or both","Non-cognizable","Bailable"
420,"Cheating and dishonestly inducing delivery of property","Cheating and dishonestly inducing delivery of property","Imprisonment for 7 years and fine","Cognizable","Non-bailable"
425,"Mischief","Mischief","-","-","-"
426,"Punishment for mischief","Mischief","Imprisonment for 3 months, or fine, or both","Non-cognizable","Bailable"
427,"Mischief causing damage to the amount of fifty rupees","Mischief causing damage to the amount of fifty rupees","Imprisonment for 2 years, or fine, or both","Non-cognizable","Bailable"
436,"Mischief by fire or explosive substance with intent to destroy house, etc.","Mischief by fire or explosive substance with intent to destroy house, etc.","Imprisonment for life, or imprisonment for 10 years, and fine","Cognizable","Non-bailable"
441,"Criminal trespass","Criminal trespass","-","-","-"
447,"Punishment for criminal trespass","Criminal trespass","Imprisonment for 3 months, or fine of 500 rupees, or both","Cognizable","Bailable"
448,"Punishment for house-trespass","House-trespass","Imprisonment for 1 year, or fine of 1000 rupees, or both","Cognizable","Bailable"
463,"Forgery","Forgery","-","-","-"
464,"Making a false document","Making a false document","-","-","-"
465,"Punishment for forgery","Forgery","Imprisonment for 2 years, or fine, or both","Non-cognizable","Bailable"
468,"Forgery for purpose of cheating","Forgery for purpose of cheating","Imprisonment for 7 years and fine","Cognizable","Non-bailable"
471,"Using as genuine a forged document or electronic record","Using as genuine a forged document or electronic record","Same as for forgery of such document","Same as for forgery","Same as for forgery"
498A,"Husband or relative of husband of a woman subjecting her to cruelty","Husband or relative of husband of a woman subjecting her to cruelty","Imprisonment for 3 years and fine","Cognizable","Non-bailable"
499,"Defamation","Defamation","-","-","-"
500,"Punishment for defamation","Defamation","Simple imprisonment for 2 years, or fine, or both","Non-cognizable","Bailable"
503,"Criminal intimidation","Criminal intimidation","-","-","-"
504,"Intentional insult with intent to provoke breach of the peace","Intentional insult with intent to provoke breach of the peace","Imprisonment for 2 years, or fine, or both","Non-cognizable","Bailable"
506,"Punishment for criminal intimidation","Criminal intimidation","Imprisonment for 2 years, or fine, or both; If threat be to cause death or grievous hurt, etc., imprisonment for 7 years, or fine, or both","Non-cognizable (Cognizable in some states)","Bailable"
509,"Word, gesture or act intended to insult the modesty of a woman","Word, gesture or act intended to insult the modesty of a woman","Imprisonment for 1 year, or fine, or both","Cognizable","Bailable"
511,"Punishment for attempting to commit offences punishable with imprisonment for life or other imprisonment","Attempting to commit offences punishable with imprisonment for life or other imprisonment","Imprisonment for 1/2 of the longest term provided for the offence, or fine, or both","Same as offence attempted","Same as offence attempted"
